Wall time,Time,Progress,Step,Norm loss,Value,Loss alpha,Loss alpha abs
1588299236,816,0.4710359142,29956,0.04072670103,0.12151992,0.03903175,0.03903175
1588299239,819,0.4729071011,30075,0.06075280595,0.18127361,-0.05975369,0.05975369
1588299243,823,0.4747940122,30195,0.05987133638,0.17864349,0.00263012,0.00263012
1588299255,835,0.4818699289,30645,0.08130842871,0.24260727,-0.06396378,0.06396378
1588299258,838,0.4836467702,30758,0.05249410454,0.15663138,0.08597589,0.08597589
1588299261,841,0.4854393358,30872,0.04448437509,0.13273203,0.02389935,0.02389935
1588299264,844,0.4872790742,30989,0.03428062053,0.10228617,0.03044586,0.03044586
1588299267,847,0.4891659853,31109,0.0146277624,0.04364617,0.05864,0.05864
1588299270,850,0.4909585509,31223,0.06754013366,0.20152557,-0.1578794,0.1578794
1588299281,861,0.4969494937,31604,0.04618200131,0.13779739,0.06372818,0.06372818
1588299284,864,0.4988521291,31725,0.06166946566,0.18400873,-0.04621134,0.04621134
1588299287,867,0.5007390402,31845,0.1053158696,0.31424043,-0.1302317,0.1302317
1588299290,870,0.5025158815,31958,0.05742973352,0.17135826,0.14288217,0.14288217
1588299293,873,0.5044027926,32078,0.04851216871,0.14475012,0.02660814,0.02660814
1588299296,876,0.506305428,32199,0.02056560336,0.06136344,0.08338668,0.08338668
1588299307,887,0.5122020253,32574,0.02661451782,0.07941213,-0.01804869,0.01804869
1588299310,890,0.5141046607,32695,0.02890349935,0.08624197,-0.00682984,0.00682984
1588299313,893,0.5159915718,32815,0.02041253293,0.06090671,0.02533526,0.02533526
1588299316,896,0.5178784829,32935,0.02952119699,0.08808505,-0.02717834,0.02717834
1588299319,899,0.5196710485,33049,0.03660046884,0.10920811,-0.02112306,0.02112306
1588299322,902,0.5215736839,33170,0.02306898336,0.068833,0.04037511,0.04037511
1588299325,905,0.5234448707,33289,0.03093202017,0.09229465,-0.02346165,0.02346165
1588299335,915,0.5285395308,33613,0.01356347836,0.04047057,0.05182408,0.05182408
1588299337,917,0.5303320964,33727,0.01710426383,0.05103553,-0.01056496,0.01056496
1588299340,920,0.5322190075,33847,0.04219862436,0.12591183,-0.0748763,0.0748763
1588299343,923,0.5340430216,33963,0.03175684031,0.09475574,0.03115609,0.03115609
1588299346,926,0.5358198629,34076,0.01796149911,0.05359334,0.0411624,0.0411624
1588299349,929,0.537643877,34192,0.03308054945,0.09870541,-0.04511207,0.04511207
1588299352,932,0.5395307881,34312,0.01523203416,0.04544919,0.05325622,0.05325622
1588299361,941,0.5442795144,34614,0.01024185376,0.03055954,0.01488965,0.01488965
1588299364,944,0.5461507013,34733,0.01312741213,0.03916944,-0.0086099,0.0086099
1588299367,947,0.5479432669,34847,0.0195290525,0.05827059,-0.01910115,0.01910115
1588299370,950,0.5497830052,34964,0.01643335533,0.04903368,0.00923691,0.00923691
1588299373,953,0.5516699163,35084,0.02642718895,0.07885318,-0.0298195,0.0298195
1588299376,956,0.5534310334,35196,0.01278942922,0.03816097,0.04069221,0.04069221
1588299379,959,0.5552707717,35313,0.01858210246,0.05544509,-0.01728412,0.01728412
1588299388,968,0.5602710862,35631,0.007717845632,0.02302843,0.03241666,0.03241666
1588299391,971,0.5620793761,35746,0.01119057001,0.03339031,-0.01036188,0.01036188
1588299394,974,0.5638719416,35860,0.01963666732,0.05859169,-0.02520138,0.02520138
1588299397,977,0.5656487829,35973,0.0241058593,0.07192682,-0.01333513,0.01333513
1588299400,980,0.567472797,36089,0.008755361705,0.02612416,0.04580266,0.04580266
1588299403,983,0.5692653626,36203,0.007270816841,0.02169459,0.00442957,0.00442957
1588299406,986,0.5710422039,36316,0.008308128476,0.02478971,-0.00309512,0.00309512
1588299417,997,0.5773319077,36716,0.02022991284,0.06036181,-0.0355721,0.0355721
1588299420,1000,0.5792502673,36838,0.00529610342,0.01580246,0.04455935,0.04455935
1588299423,1003,0.5810113844,36950,0.01593482158,0.04754616,-0.0317437,0.0317437
1588299426,1006,0.5828039499,37064,0.007625774807,0.02275371,0.02479245,0.02479245
1588299429,1009,0.584565067,37176,0.004269174554,0.01273832,0.01001539,0.01001539
1588299432,1012,0.5864048053,37293,0.02255269366,0.0672925,-0.05455418,0.05455418
1588299444,1024,0.5928674759,37704,0.006759437005,0.02016874,0.04712376,0.04712376
1588299447,1027,0.5947543871,37824,0.01872362046,0.05586735,-0.03569861,0.03569861
1588299450,1030,0.5966570225,37945,0.004121245238,0.01229693,0.04357042,0.04357042
1588299453,1033,0.5985596578,38066,0.01532150762,0.04571616,-0.03341923,0.03341923
1588299456,1036,0.600446569,38186,0.00612739854,0.01828287,0.02743329,0.02743329
1588299459,1039,0.6022391345,38300,0.01329502782,0.03966957,-0.0213867,0.0213867
1588299472,1052,0.60923643,38745,0.01371295604,0.04091658,-0.00124701,0.00124701
1588299475,1055,0.6110289955,38859,0.01409817418,0.04206599,-0.00114941,0.00114941
1588299478,1058,0.6128058368,38972,0.02192339667,0.06541481,-0.02334882,0.02334882
1588299481,1061,0.614692748,39092,0.005592974186,0.01668826,0.04872655,0.04872655
1588299484,1064,0.6165953834,39213,0.008685088661,0.02591448,-0.00922622,0.00922622
1588299487,1067,0.6183879489,39327,0.00374453306,0.0111729,0.01474158,0.01474158
1588299498,1078,0.6244889616,39715,0.005731640115,0.01710201,-0.00592911,0.00592911
1588299501,1081,0.6263601484,39834,0.01397607443,0.04170167,-0.02459966,0.02459966
1588299504,1084,0.6282470596,39954,0.007421997055,0.02214568,0.01955599,0.01955599
1588299507,1087,0.6300396251,40068,0.005403912619,0.01612414,0.00602154,0.00602154
1588299510,1090,0.6318164664,40181,0.0178382029,0.05322545,-0.03710131,0.03710131
1588299513,1093,0.6336404805,40297,0.003298982255,0.00984347,0.04338198,0.04338198
1588299524,1104,0.6398830115,40694,0.007413313468,0.02211977,-0.0122763,0.0122763
1588299527,1107,0.6416755771,40808,0.01426327963,0.04255863,-0.02043886,0.02043886
1588299530,1110,0.6434681427,40922,0.02378395996,0.07096634,-0.02840771,0.02840771
1588299533,1113,0.6453236053,41040,0.0122528566,0.03655995,0.03440639,0.03440639
1588299536,1116,0.6471790679,41158,0.003043887218,0.00908232,0.02747763,0.02747763
1588299539,1119,0.6490817033,41279,0.004012299901,0.01197186,-0.00288954,0.00288954
1588299542,1122,0.6509686144,41399,0.00540214976,0.01611888,-0.00414702,0.00414702
1588299553,1133,0.6568494874,41773,0.01124249391,0.03354524,-0.01742636,0.01742636
1588299556,1136,0.658642053,41887,0.01779417165,0.05309407,-0.01954883,0.01954883
1588299559,1139,0.6605446883,42008,0.005883430292,0.01755492,0.03553915,0.03553915
1588299562,1142,0.6623372539,42122,0.00584076643,0.01742762,0.0001273,0.0001273
1588299565,1145,0.6641769923,42239,0.01572591277,0.04692282,-0.0294952,0.0294952
1588299568,1148,0.6660639034,42359,0.007075166337,0.02111081,0.02581201,0.02581201
1588299578,1158,0.6717560853,42721,0.004603162544,0.01373487,0.00737594,0.00737594
